error_category,strict_category,evidence_supports,same_under_strict_rules,analysis,question_id,step_index
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The step mislabels average rank as y-axis values, provides a garbled entry 'IFAlpha1:> - 8.53', and lists only ~10 algorithms while the chart shows 13 algorithms with AUROC >72, making it incomplete and inaccurate.",2361,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The step is truncated to 'target shows the' with no data extraction, value reading, or ranking at displacement=5.3, so it does not provide a verifiable or logically complete inference.",1177,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Redefines S_1 as 'region under the GIC line between u=5 and approximately intersects', which contradicts the question definition of S_1 as enclosed by L_GIC, u=5, and L_AIC, and leaves the bound incomplete.",2147,2
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Plot (c) y-axis is labeled lg(fluorescence intensity), not just fluorescence intensity, so the axis description is factually inaccurate / incomplete.",1275,0
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"In the middle figure (No Truncation Methodology), the Chemical line first crosses above the Pharma line around 1990, not 2010–2012. The claimed year range contradicts the chart and the verified ground truth answer of 1990.",525,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The text is garbled and incomplete ('The means less than % 90%'), fails to identify the four rate values at ~50%, ~53%, ~58-59%, ~62-63%, and does not correctly conclude that 3 (Missing, Width, Uncertainty) are below 60%.",543,2
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The step lists a subset of strains and assigns colors, but it omits Barnesiella, Enterococcus, and Clostridioides difficile and mischaracterizes the Lachnospiraceae colors as orange/purple versus the actual orange/brown shades, making the legend extraction incomplete and inaccurate.",1531,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Again claims headlines (dim:100) with true comparison but triplicates the same category, logically inconsistent for counting distinct categories and leaving the true set of 6 (wikipedia + 5 headlines) incomplete.",1913,6
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"FAIL: Incorrect reading at N≈1200 where max successful is ~1100s not ~850s, and second bullet is incomplete/nonsensical, breaking logical coherence.",1038,2
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The step is truncated to 'Summaring Step 2 and' with no completed reasoning or conclusion, providing no verifiable claim and breaking logical coherence.",36,3
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"While the listed numbers match their subplots, the list omits SA-Q-dev with average 30.75, which is the highest value and essential for determining third highest. Incomplete extraction makes the step inaccurate.",153,4
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The legend shows four J/U ratios: 0.18, 0.12, 0.06, and 0.0. Claiming the range is 0.06 to 0.18 omits the 0.0 curve and is factually incomplete, contradicting the chart.",1235,0
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The chart shows three groups Warm-a, Warm-b, and Warm-c, not only Warm-b, and the ground truth indicates Warm-c has the smallest 12 vs 20 difference. Singling out Warm-b as the target subplot is factually incomplete and incorrect.",279,0
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Step is incomplete with no subplot letter provided, fails to answer the question, and is logically incoherent following the prior false premises; ground truth is c which is not stated.",1071,4
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"While rho_max=0.0112 is near t=1 on the colorbar, the statement 't increases over' is incomplete and the step continues the incorrect premise of reading t as a function of rho_max. It fails to evaluate which t has the smallest darkest area (ground truth t=0.75).",945,4
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The chart has three distinct y-axis row labels: MEPS, BLOG, and COMMUNITIES. Claiming the y-axis represents only 'MEPS' is incomplete and factually incorrect for the whole figure, and contradicts the ground truth row BLOG.",2105,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"The step misreads values on the rightmost plot (e.g., T1 at β=1 is ~38-45%, not ~55%) and contains garbled incomplete entries, failing to report T4 at β=0 and T2/T3 deltas. It also incorrectly concludes 'highest Accuracy Value is T4' (absolute value, false as T2 is ~70% at β=0) instead of computing increase Δ=acc(1)-acc(0).",84,1
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Duplicate inaccurate description of values and truncates without performing required ShapeWorld vs Birds Concept variance comparison, hallucinating content instead of answering question.",113,4
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,Incomplete concluding step that provides no estimate and fails to correct the prior 29k error or arrive at the ground-truth ~10000 infections.,2271,4
incomplete_or_truncated_step,incomplete_or_truncated_step,True,True,"Step 0 claims yellow squares exist only for brushingTeethElectric, dishes, nothing, and typing, missing at least 9 other yellow cells visible in the chart such as blender (1), brushingTeethRegular (3,1,1), medicine (2), microwave (4), shaving (1), and typing's second yellow. This is an incomplete and incorrect identification of yellow squares.",130,0
hallucinated_entity,hallucinated_entity,True,True,"While 0.03 > 0.02 > 0.01 is arithmetically true, the differences are based on hallucinated values that do not match the blue model ensemble data; the real AAV difference (~0.15) is largest but not as stated.",1653,4
hallucinated_entity,hallucinated_entity,True,True,"Similarly, Q2 at 11:10 PPD is around -0.4, not a standard deviation of 0.08. The chart contains no such numbers.",1986,4
hallucinated_entity,hallucinated_entity,True,True,"States 'Recalculating' matches the pattern, but no averaging calculation along z is shown and it endorses the previous hallucinated red-transition pattern that does not exist in the chart.",697,2
hallucinated_entity,hallucinated_entity,True,True,Y-axis level 35 is outside the chart's y-range and the claimed NO_2 level ~35 is invented with no support from the map.,2236,8
hallucinated_entity,hallucinated_entity,True,True,"Step 1 hallucinates a large list of 11+ renewable-only countries including incorrect code mappings like SVK for Sweden and RSA, contradicting the visual where only 6 columns have color exclusively in the Renewable row.",466,1
hallucinated_entity,hallucinated_entity,True,True,"Step hallucinates precise numeric values (2.4, 3.5, 2.8, 1.8, 3.0, 2.7) not present on the unlabeled relative-length bars and claims GATE is ~1.8 shortest, which directly contradicts the visual where GATE has the longest Posterior bar and the ground truth answer Gate.",145,1
hallucinated_entity,hallucinated_entity,True,True,"Step 2 claims 'At T5, the first red cross' reaches 75%, which is false - there is only one cross at T5 and its value is far below 75%, showing hallucinated numbers and misidentification.",1146,2
hallucinated_entity,hallucinated_entity,True,True,"Year 2015 is outside the chart x-range which ends at 2014, and 87.8 exceeds the y-axis limit, so this is hallucinated.",507,9
hallucinated_entity,hallucinated_entity,True,True,"Step 2 is factually incorrect and hallucinates domain bias; the chart shows w2 (black solid) has clearly the highest values (~600 by 2020), not m, and provides no evidence that m represents greatest average.",2000,2
hallucinated_entity,hallucinated_entity,True,True,"The x-axes do show dates labeled like 'Apr 21', but there is no 'April 2022' on the chart, so mentioning April 2022 is hallucinated. Finding an intersection point is also irrelevant to the white-space question.",1921,0
hallucinated_entity,hallucinated_entity,True,True,"Data extraction is factually incorrect: ±0 is ~0% not -1%, ±4 is ~-10.7% not -9%, ±8 is ~-7.5% not -11% and ±10 is ~-7% not -14%, and it invents a monotonic worsening trend opposite to the U-shaped curve where only middle points are below -9%.",321,1
hallucinated_entity,hallucinated_entity,True,True,"At y=0 the chart shows only a single point at x=0 with no horizontal extent, length 0, not 1.5 units. The value is hallucinated and exceeds the axis scale logic.",962,1
hallucinated_entity,hallucinated_entity,True,True,"Builds on flawed previous steps, comparing 5/1 and hallucinated 1/5 as minima instead of computing the difference between 1000 (red) and 10000 (green) at each strategy.",2010,3
hallucinated_entity,hallucinated_entity,True,True,"Step 3 repeats the hallucinated 'week 2' instead of the dated week 2022-02-07 and asserts a drop after, which relies on non-consolidated data after the dashed line and is not a precise reading of the peak week.",1680,3
hallucinated_entity,hallucinated_entity,True,True,"Claims at u=5 the y-values are ~11.5, 9.8, 13.0. The chart y-axis only goes from -2 to 8 (top scale 0-15 in eigen panels) and actual values at u=5 are near 0-2, so numbers are hallucinated and the phrase 'crosses the u-axis' is misused.",2147,1
hallucinated_entity,hallucinated_entity,True,True,The chart has no x-axis representing age categories; it is a 2x3 grid of choropleth maps labeled by gender and age group. The step hallucinates axes and data points at the extreme left.,2234,0
hallucinated_entity,hallucinated_entity,True,True,"Year 2009 is not a visible x-axis label and the chart shows no rise to 81 between 2008-2010; the median stays at or below 80 there, so the claim of 81 in 2009 is hallucinated and contradicts the true first crossing between 2006-2008.",507,2
hallucinated_entity,hallucinated_entity,True,True,"The claim of ~-30 nA is hallucinated; the visible scale in (c) is positive 0.10 to 0.32 nA, and no -30 nA data point exists.",1332,1
hallucinated_entity,hallucinated_entity,True,True,"CHEDDAR row shows blue presence only in Arkansas, Iowa, etc., while New York and New Jersey columns are white/empty for that row, so claiming both have CHEDDAR light blue present is a misreading/hallucination.",2166,1
hallucinated_entity,hallucinated_entity,True,True,"Year 2011 is not visible on x-axis and the median around 2011 is ~79, not 83.9, which is a hallucinated high value.",507,5
arithmetic_error,arithmetic_error,True,True,"While 45-30=15 is arithmetically correct, the conclusion that the right subplot has 15 more points is factually false, as the ground truth difference is 0, and it propagates prior counting errors.",2083,3
arithmetic_error,arithmetic_error,True,True,"Incorrect math: 7500 * 1e-6 = 0.0075, not 0.075 ms, and irrelevant unit conversion contradicts the question; also introduces logical confusion about time frame.",2133,1
arithmetic_error,arithmetic_error,True,True,"The inequality 2.5 cm > 1. cm > 1.8 cm is mathematically false (1.0 is not > 1.8) and the comparison incorrectly crowns FOREST as highest, which contradicts both the visual data and Ground Truth GATE.",145,4
arithmetic_error,arithmetic_error,True,True,"Step 2 contains incorrect arithmetic ordering (7.7% < 7.1% is false, 7.1% < 8.0% should come first) and concludes 32.5% is highest based on faulty data, contradicting the ground truth 33.1% for Nuclear operation safety.",575,2
arithmetic_error,arithmetic_error,True,True,"The inequality chain 18.21 > 7.71 > 15.59 is mathematically false since 7.71 is not greater than 15.59, and the comparison ignores Italy's 26.04 which is the true highest European overnight value.",1929,4
arithmetic_error,arithmetic_error,True,True,"Arithmetic 0.28/0.32=0.875 is mathematically correct and consistent with prior steps, but the ratio is factually wrong per the chart; the true blue/black ratio at zero is ~0.4/0.2≈2, matching ground truth 2.",1439,3
arithmetic_error,arithmetic_error,True,True,"Claiming 60% ≈ 30% is mathematically false (30 point difference) and constitutes an invalid logical comparison, also leading to an incorrect conclusion versus ground truth 'Training on 4-hop Questions'.",268,3
arithmetic_error,arithmetic_error,True,True,"x-axis is β is correct, but stating β < 0.001 = 0.001 and conjoining with β > 2.5 as simultaneous is mathematically false; the two intervals are disjoint and not equal.",1569,0
