question_id,rollout_index,step_index,score,analysis,step_text,question,ground_truth,error_category,error_category_label,multi_labels,kmeans_cluster
20,2,1,0,"The step introduces undefined 'Category A/B' instead of Top/non-top institutions and incorrectly claims distributions are 'below 50' and 'above 100', contradicting the histogram where both extend beyond those points with bulk near 0.",Step 2: There is no clear indication of which category has a higher value based on the provided histogram.," When comparing the proportion of papers from top institutions with a degree of 50 and non-top institutions with a degree of 100, which category exhibits a higher value?",Top institutions,threshold_or_comparison,Bad comparison / threshold logic,threshold_or_comparison|wrong_numeric_read|logic_inconsistency,1
20,2,2,0,"The histogram clearly shows blue (Top at 50, ~0.05-0.07) higher than orange (Non-top at 100, ~0.01), so claiming 'no clear indication' is factually false and contradicts the ground truth that Top institutions is higher.",," When comparing the proportion of papers from top institutions with a degree of 50 and non-top institutions with a degree of 100, which category exhibits a higher value?",Top institutions,wrong_series_or_color,Wrong series / color / legend identity,wrong_series_or_color|logic_inconsistency,0
14,1,1,0,Fails: misidentifies second-highest time as 5 seconds and incorrectly places MobileNetV2 (α=0.5) at 5s with 91%; chart shows that model at <1s and second-highest is Xception at ~5.7s.,"Step 2: The second highest time value is 5 seconds.
At 5 seconds, MobileNetV2 (α = 0.5) has an accuracy of approximately 91%.",Provide the accuracy (%) of the model with the second highest time.,94,ranking_error,Wrong ranking / extremum (highest/lowest/second),ranking_error|wrong_numeric_read,1
14,1,2,0,"Fails: claims 6 seconds is the second-highest time, but 6s is the highest time (DenseNet201). Accuracy of ~92% for DenseNet201 is approximately correct, but ranking is wrong.","Step 3: The second highest time value is 6 seconds.
At 6 seconds, DenseNet201 has an accuracy of approximately 92%.",Provide the accuracy (%) of the model with the second highest time.,94,ranking_error,Wrong ranking / extremum (highest/lowest/second),ranking_error,1
14,0,1,0,"DenseNet201 is at 6s (the highest time) with 92% accuracy, not slightly lower than 6s. The step misreads the time position, confusing DenseNet201 with Xception.","Step 2: At Time closest but slightly lower than 6 seconds, DenseNet201's accuracy is around 92%.",Provide the accuracy (%) of the model with the second highest time.,94,ranking_error,Wrong ranking / extremum (highest/lowest/second),ranking_error|wrong_numeric_read,5
14,0,2,0,"Xception is the second-highest time (~5.8s), but its accuracy is 94% on the chart, not 93% as stated, which directly contradicts visual data and ground truth 94.","Step 3: At nearly 6 seconds, Xception's accuracy is around 93%, making it the second-highest time in terms of accuracy.",Provide the accuracy (%) of the model with the second highest time.,94,ranking_error,Wrong ranking / extremum (highest/lowest/second),ranking_error|logic_inconsistency,1
29,3,1,0,"Misreads the value and unit: claims around 800 steps at 10h, but y-axis is Episode return not steps, and ground truth/chart show ~750. The 800 estimate is inaccurate.","Step 2: At 10h, the graph representing 'hopper:stand' shows the maximum point reached is around 800 steps.","For the subplot labeled hopper:stand, what is the maximum episode return approximately achieved at 10h?",750,axis_or_layout_misread,Axis / layout / chart-structure misread,axis_or_layout_misread|wrong_numeric_read,5
29,3,2,0,"Concludes maximum is approximately 800 steps, propagating the misread value and wrong unit from Step 1, contradicting ground truth of 750 episode return.","Step 3: Therefore, the maximum episode return at 10h is approximately 800 steps.","For the subplot labeled hopper:stand, what is the maximum episode return approximately achieved at 10h?",750,ranking_error,Wrong ranking / extremum (highest/lowest/second),ranking_error|wrong_numeric_read|logic_inconsistency,5
5,4,0,0,"Step 0 misreads the y-axis as 'V' while the chart shows ~n-bar, and hallucinates a 'red line' – the split boundaries are gray dashed lines. It also conflates steps with redundant phrasing.","Step 1: For subplot (a), the x-axis represents values of S and the y-axis represents values of V. Blue points represent the split direction and green points represent another split direction.
 Step  Step analysis shows that the red line splits the blue and green points differently than those in subplot (c).",Which subplot has a different split direction for the blue/green points compared to the other ones?,(c),hallucinated_entity,Hallucinated entity / label not on chart,hallucinated_entity|axis_or_layout_misread|wrong_series_or_color|wrong_numeric_read,7
5,4,1,0,"Step 1 repeats the 'red line' hallucination which does not exist in any subplot, and provides no valid extraction of split direction (horizontal in a,b,d vs vertical in c). Thus factually incorrect.",Step 2: Red line splits the blue and green points differently than those in subplot (c).,Which subplot has a different split direction for the blue/green points compared to the other ones?,(c),hallucinated_entity,Hallucinated entity / label not on chart,hallucinated_entity|axis_or_layout_misread|wrong_series_or_color|logic_inconsistency,2
